case_id,family,subject,batch,split,reference_target,reference_profile,required_measurements,engine,stimulus
M5B,Mono,Bright high lead / lower / darker,Expansion 48,Development,Mini V3 3.12 software reference,,Pitch; harmonic shape; foldback energy; measured envelope mapping,,"MIDI 72 base and MIDI 84 high-note check; saw and pulse in separate segments; each 4.6 s phrase plus 2.9 s release. Frozen raw Mini V3 audio is a software-synth reference, not a physical Minimoog. Filter open position is calibrated by repeated self-oscillation; MIDI pitch, oscillator range, envelope timing and raw gain are measured, not inferred from normalized knob positions."
M5C,Mono,Bright high lead / higher / brighter,Expansion 48,Development,Mini V3; Model D cross-check,,Pitch; harmonic shape; foldback energy,,"Base MIDI note 96. Open filter; saw and pulse tested in separate segments; include high notes. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M5D,Mono,Bright high lead / new gesture,Holdout 20,Holdout,Mini V3; Model D cross-check,,Pitch; harmonic shape; foldback energy,,Reserve unseen note/control trajectories within this family. Fix the mapping before tuning; reveal detailed results only at a release evaluation.
M6A,Mono,Resonant pluck / anchor,First 32,Development,Mini V3; Model D cross-check,,Resonance trajectory; envelope; residual tail,,"Base MIDI note 55. Resonant filter envelope; repeat with silence long enough to check release. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M6B,Mono,Resonant pluck / lower / darker,Expansion 48,Development,Mini V3; Model D cross-check,,Resonance trajectory; envelope; residual tail,,"Base MIDI note 43. Resonant filter envelope; repeat with silence long enough to check release. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M6C,Mono,Resonant pluck / higher / brighter,Expansion 48,Development,Mini V3; Model D cross-check,,Resonance trajectory; envelope; residual tail,,"Base MIDI note 67. Resonant filter envelope; repeat with silence long enough to check release. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M6D,Mono,Resonant pluck / new gesture,Expansion 48,Development,Mini V3; Model D cross-check,,Resonance trajectory; envelope; residual tail,,"Base MIDI note 55. Resonant filter envelope; repeat with silence long enough to check release. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M7A,Mono,Noise percussion / anchor,First 32,Development,Mini V3; Model D cross-check,,Spectral bands; rise/decay; noise statistics,,"Base MIDI note 60. Noise through the ladder with a short envelope. Keep oscillator sources silent. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M7B,Mono,Noise percussion / lower / darker,Expansion 48,Development,Mini V3; Model D cross-check,,Spectral bands; rise/decay; noise statistics,,"Base MIDI note 48. Noise through the ladder with a short envelope. Keep oscillator sources silent. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M7C,Mono,Noise percussion / higher / brighter,Expansion 48,Development,Mini V3; Model D cross-check,,Spectral bands; rise/decay; noise statistics,,"Base MIDI note 72. Noise through the ladder with a short envelope. Keep oscillator sources silent. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M7D,Mono,Noise percussion / new gesture,Holdout 20,Holdout,Mini V3; Model D cross-check,,Spectral bands; rise/decay; noise statistics,,Reserve unseen note/control trajectories within this family. Fix the mapping before tuning; reveal detailed results only at a release evaluation.
M8A,Mono,Oscillator-3 modulation / anchor,First 32,Development,Mini V3; Model D cross-check,,Modulation rate/depth; sidebands; envelope,,"Base MIDI note 60. Fixed carrier pitch and repeatable oscillator-3 modulation; fixed wheel trajectory. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M8B,Mono,Oscillator-3 modulation / lower / darker,Expansion 48,Development,Mini V3; Model D cross-check,,Modulation rate/depth; sidebands; envelope,,"Base MIDI note 48. Fixed carrier pitch and repeatable oscillator-3 modulation; fixed wheel trajectory. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M8C,Mono,Oscillator-3 modulation / higher / brighter,Expansion 48,Development,Mini V3; Model D cross-check,,Modulation rate/depth; sidebands; envelope,,"Base MIDI note 72. Fixed carrier pitch and repeatable oscillator-3 modulation; fixed wheel trajectory. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M8D,Mono,Oscillator-3 modulation / new gesture,Expansion 48,Development,Mini V3; Model D cross-check,,Modulation rate/depth; sidebands; envelope,,"Base MIDI note 60. Fixed carrier pitch and repeatable oscillator-3 modulation; fixed wheel trajectory. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
F1A,Filters,Cutoff response / low,First 32,Development,Surge Type 2 / qualified path,,Corner frequency; low-band gain; rolloff,,"Low-level stepped tones at resonance zero; compare identical input through both filter paths. Nominal cutoff region 250 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F1B,Filters,Cutoff response / mid,Expansion 48,Development,Surge Type 2 / qualified path,,Corner frequency; low-band gain; rolloff,,"Low-level stepped tones at resonance zero; compare identical input through both filter paths. Nominal cutoff region 1000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F1C,Filters,Cutoff response / high,Expansion 48,Development,Surge Type 2 / qualified path,,Corner frequency; low-band gain; rolloff,,"Low-level stepped tones at resonance zero; compare identical input through both filter paths. Nominal cutoff region 4000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F1D,Filters,Cutoff response / new setting,Holdout 20,Holdout,Surge Type 2 / qualified path,,Corner frequency; low-band gain; rolloff,,Seal an unseen cutoff/resonance/drive trajectory. Use the calibrated mapping unchanged.
F2A,Filters,Resonance / bass / low,First 32,Development,Surge Type 2 / qualified path,,Bass loss; peak frequency; peak gain,,"Fixed bass-rich input and measured cutoff; sweep resonance without output normalization. Nominal cutoff region 250 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F2B,Filters,Resonance / bass / mid,Expansion 48,Development,Surge Type 2 / qualified path,,Bass loss; peak frequency; peak gain,,"Fixed bass-rich input and measured cutoff; sweep resonance without output normalization. Nominal cutoff region 1000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F2C,Filters,Resonance / bass / high,Expansion 48,Development,Surge Type 2 / qualified path,,Bass loss; peak frequency; peak gain,,"Fixed bass-rich input and measured cutoff; sweep resonance without output normalization. Nominal cutoff region 4000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F2D,Filters,Resonance / bass / new setting,Holdout 20,Holdout,Surge Type 2 / qualified path,,Bass loss; peak frequency; peak gain,,Seal an unseen cutoff/resonance/drive trajectory. Use the calibrated mapping unchanged.
F3A,Filters,Mixer / filter drive / low,First 32,Development,Surge Type 2 / qualified path,,Harmonic ratios; compression; DC,,"Fixed sinusoid and multitone at three stated input levels; separate mixer drive from output gain. Nominal cutoff region 250 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F3B,Filters,Mixer / filter drive / mid,Expansion 48,Development,Surge Type 2 / qualified path,,Harmonic ratios; compression; DC,,"Fixed sinusoid and multitone at three stated input levels; separate mixer drive from output gain. Nominal cutoff region 1000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F3C,Filters,Mixer / filter drive / high,Expansion 48,Development,Surge Type 2 / qualified path,,Harmonic ratios; compression; DC,,"Fixed sinusoid and multitone at three stated input levels; separate mixer drive from output gain. Nominal cutoff region 4000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F3D,Filters,Mixer / filter drive / new setting,Holdout 20,Holdout,Surge Type 2 / qualified path,,Harmonic ratios; compression; DC,,Seal an unseen cutoff/resonance/drive trajectory. Use the calibrated mapping unchanged.
F4A,Filters,Self oscillation / low,Expansion 48,Development,Surge Type 2 / qualified path,,Frequency tracking; spectrum; stability,,"Excite then remove input, measure steady self oscillation. VCA note-off is checked separately in Release. Nominal cutoff region 250 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F4B,Filters,Self oscillation / mid,Expansion 48,Development,Surge Type 2 / qualified path,,Frequency tracking; spectrum; stability,,"Excite then remove input, measure steady self oscillation. VCA note-off is checked separately in Release. Nominal cutoff region 1000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F4C,Filters,Self oscillation / high,Expansion 48,Development,Surge Type 2 / qualified path,,Frequency tracking; spectrum; stability,,"Excite then remove input, measure steady self oscillation. VCA note-off is checked separately in Release. Nominal cutoff region 4000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F4D,Filters,Self oscillation / new setting,Expansion 48,Development,Surge Type 2 / qualified path,,Frequency tracking; spectrum; stability,,"Excite then remove input, measure steady self oscillation. VCA note-off is checked separately in Release. Nominal cutoff region 1500 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F5A,Filters,Cutoff motion / low,First 32,Development,Surge Type 2 / qualified path,,Tracking; modulation sidebands; stepping,,"Identical held input with slow and fast cutoff trajectories; pin host automation block size. Nominal cutoff region 250 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F5B,Filters,Cutoff motion / mid,Expansion 48,Development,Surge Type 2 / qualified path,,Tracking; modulation sidebands; stepping,,"Identical held input with slow and fast cutoff trajectories; pin host automation block size. Nominal cutoff region 1000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F5C,Filters,Cutoff motion / high,Expansion 48,Development,Surge Type 2 / qualified path,,Tracking; modulation sidebands; stepping,,"Identical held input with slow and fast cutoff trajectories; pin host automation block size. Nominal cutoff region 4000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F5D,Filters,Cutoff motion / new setting,Holdout 20,Holdout,Surge Type 2 / qualified path,,Tracking; modulation sidebands; stepping,,Seal an unseen cutoff/resonance/drive trajectory. Use the calibrated mapping unchanged.
F6A,Filters,Audio-rate modulation / low,Expansion 48,Development,Surge Type 2 / qualified path,,Sidebands; foldback; stability,,"Identical modulated stimulus/control trace where the reference supports it; pin modulation rate and depth. Nominal cutoff region 250 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F6B,Filters,Audio-rate modulation / mid,Expansion 48,Development,Surge Type 2 / qualified path,,Sidebands; foldback; stability,,"Identical modulated stimulus/control trace where the reference supports it; pin modulation rate and depth. Nominal cutoff region 1000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F6C,Filters,Audio-rate modulation / high,Expansion 48,Development,Surge Type 2 / qualified path,,Sidebands; foldback; stability,,"Identical modulated stimulus/control trace where the reference supports it; pin modulation rate and depth. Nominal cutoff region 4000 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
F6D,Filters,Audio-rate modulation / new setting,Expansion 48,Development,Surge Type 2 / qualified path,,Sidebands; foldback; stability,,"Identical modulated stimulus/control trace where the reference supports it; pin modulation rate and depth. Nominal cutoff region 1500 Hz, verified by measurement. A second qualified emulation is a cross-check, not a pooled target."
E1A,Ensemble,Bass and kit / sparse,First 32,Development,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,"Mono bass with all available 808 parts, including accents and hat choke. Two bars at 124 BPM plus full release; sparse arrangement. No mastering limiter. Preserve per-bus stems and raw final output."
E1B,Ensemble,Bass and kit / dense,First 32,Development,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,"Mono bass with all available 808 parts, including accents and hat choke. Two bars at 124 BPM plus full release; dense arrangement and coincident hits. No mastering limiter. Preserve per-bus stems and raw final output."
E1C,Ensemble,Bass and kit / live controls,Expansion 48,Development,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,"Mono bass with all available 808 parts, including accents and hat choke. Two bars at 124 BPM plus full release; cutoff/resonance performance. No mastering limiter. Preserve per-bus stems and raw final output."
E1D,Ensemble,Bass and kit / new phrase,Holdout 20,Holdout,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,Reserve an unseen phrase and interaction pattern. Render reference stems with the same event schedule and declared mix gains.
E2A,Ensemble,Lead and kit / sparse,First 32,Development,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,"Legato lead over a drum groove, with note releases and an exposed snare. Two bars at 124 BPM plus full release; sparse arrangement. No mastering limiter. Preserve per-bus stems and raw final output."
E2B,Ensemble,Lead and kit / dense,Expansion 48,Development,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,"Legato lead over a drum groove, with note releases and an exposed snare. Two bars at 124 BPM plus full release; dense arrangement and coincident hits. No mastering limiter. Preserve per-bus stems and raw final output."
E2C,Ensemble,Lead and kit / live controls,Expansion 48,Development,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,"Legato lead over a drum groove, with note releases and an exposed snare. Two bars at 124 BPM plus full release; cutoff/resonance performance. No mastering limiter. Preserve per-bus stems and raw final output."
E2D,Ensemble,Lead and kit / new phrase,Holdout 20,Holdout,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,Reserve an unseen phrase and interaction pattern. Render reference stems with the same event schedule and declared mix gains.
E3A,Ensemble,Noise / modulation and kit / sparse,First 32,Development,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,"Noise or oscillator-3 effects over a groove, then an abrupt all-notes-off. Two bars at 124 BPM plus full release; sparse arrangement. No mastering limiter. Preserve per-bus stems and raw final output."
E3B,Ensemble,Noise / modulation and kit / dense,Expansion 48,Development,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,"Noise or oscillator-3 effects over a groove, then an abrupt all-notes-off. Two bars at 124 BPM plus full release; dense arrangement and coincident hits. No mastering limiter. Preserve per-bus stems and raw final output."
E3C,Ensemble,Noise / modulation and kit / live controls,Holdout 20,Holdout,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,Reserve an unseen phrase and interaction pattern. Render reference stems with the same event schedule and declared mix gains.
E3D,Ensemble,Noise / modulation and kit / new phrase,Holdout 20,Holdout,Qualified mono and drum stems,,Event timing; bus balance; output artifacts,,Reserve an unseen phrase and interaction pattern. Render reference stems with the same event schedule and declared mix gains.
